TextContent,TextType,url,Creator,CreatedAt,IssueID,RelatedPrID,IssueCategory,IsMPLF,CleanedTextContent
We should add `dtype` as an argument.,IssueComment,https://github.com/apache/mxnet/issues/10146#issuecomment-375742815,sxjscience,2018-03-23 17:31:04,10146,[10615],Algorithm design bug,0,We should add [code] as an argument.
Also tested on master branch 10ac52993aeaf2fa589a6b3636c8e23a65c8e639 and bug is present ,IssueComment,https://github.com/apache/mxnet/issues/10866#issuecomment-390522453,jessebrizzi,2018-05-20 23:54:00,10866,[11009],Code bug,0,Also tested on master branch 10ac52993aeaf2fa589a6b3636c8e23a65c8e639 and bug is present
@lanking520 - Any inputs on this?,IssueComment,https://github.com/apache/mxnet/issues/10866#issuecomment-392382344,sandeep-krishnamurthy,2018-05-27 22:42:20,10866,[11009],Code bug,0,@lanking520 - Any inputs on this?
"Sorry for the late reply, will start looking this today.",IssueComment,https://github.com/apache/mxnet/issues/10866#issuecomment-393757165,lanking520,2018-06-01 04:51:15,10866,[11009],Code bug,0,"Sorry for the late reply, will start looking this today."
"The following code, which always use `seq_len=500` will not trigger the seg fault. This is a very critical bug.

```python
from mxnet.gluon.rnn import LSTM
import mxnet as mx
import numpy as np

ctx = mx.gpu()
lstm = LSTM(num_layers=1, hidden_size=200, dropout=0.0)
lstm.initialize(ctx=ctx)
batch_size = 32
for seq_len in range(500, 10, -1):
    for repeat in range(10):
        real_seq_len = 500
        print(real_seq_len, repeat)
        inputs_nd = mx.nd.random.normal(0, 1, shape=(real_seq_len, batch_size, 200), ctx=ctx)
        out = lstm(inputs_nd)
        print(out[0].sum().asscalar())
        mx.nd.waitall()

```",IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-379426878,sxjscience,2018-04-07 02:46:35,10453,[11041],Memory bug ,1,"The following code, which always use [code] will not trigger the seg fault. This is a very critical bug. ``[code]``"
The bug occurs when we have variable sequence length. I think it may be related to how the mxnet reuses the memory.,IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-379429151,szhengac,2018-04-07 03:38:12,10453,[11041],Memory bug ,1,The bug occurs when we have variable sequence length. I think it may be related to how the mxnet reuses the memory.
I was able to finish running the script by setting `export MXNET_GPU_MEM_POOL_RESERVE=7`,IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-379435474,szha,2018-04-07 06:11:43,10453,[11041],Memory bug ,1,I was able to finish running the script by setting [code]
"@szha how much memory consumption did you observe?
One thing to try is to can run the code step by step and figure out which batch causes the err",IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-379435652,eric-haibin-lin,2018-04-07 06:15:20,10453,[11041],Memory bug ,1,@szha how much memory consumption did you observe? One thing to try is to can run the code step by step and figure out which batch causes the err
"What I observed is that it doesn't fail consistently on certain specific batch. Another team observed the same issue before, and it is likely caused by our backend memory pool holding too much memory, in which case the curand doesn't have enough memory to keep the random number generator states for each stream multiprocessor.",IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-379809938,szha,2018-04-09 16:21:20,10453,[11041],Memory bug ,1,"What I observed is that it doesn't fail consistently on certain specific batch. Another team observed the same issue before, and it is likely caused by our backend memory pool holding too much memory, in which case the curand doesn't have enough memory to keep the random number generator states for each stream multiprocessor."
"I have similar issue when training speech model. even after 
`export MXNET_GPU_MEM_POOL_RESERVE=7`
will try larger RESERVE",IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-379910659,Jerryzcn,2018-04-09 22:15:19,10453,[11041],Memory bug ,1,I have similar issue when training speech model. even after [code] will try larger RESERVE
I find that the `dw_desc_` is created but never destroyed. See https://github.com/apache/incubator-mxnet/blob/master/src/operator/cudnn_rnn-inl.h#L516 and  https://github.com/apache/incubator-mxnet/blob/master/src/operator/cudnn_rnn-inl.h#L98,IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-381779488,sxjscience,2018-04-16 23:17:43,10453,[11041],Memory bug ,1,I find that the [code] is created but never destroyed. See [url]#L516 and [url]#L98
It's related to https://github.com/pytorch/pytorch/issues/953. `cudnnSetDropoutDescriptor` uses a large amount of GPU memory. One choice to solve this problem is to create a DropoutDescriptor when we create a stream and always use cudnnGetDropoutDescriptor. This will also accelerate the speed of RNN layer in Gluon because we can avoid calling Alloc and Free.,IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-381819126,sxjscience,2018-04-17 03:04:56,10453,[11041],Memory bug ,1,It's related to [url] [code] uses a large amount of GPU memory. One choice to solve this problem is to create a DropoutDescriptor when we create a stream and always use cudnnGetDropoutDescriptor. This will also accelerate the speed of RNN layer in Gluon because we can avoid calling Alloc and Free.
"https://github.com/apache/incubator-mxnet/pull/11004/ ""fixes"" this issue. The filter descriptors that are freed in the destructor were not created if cudaMalloc would fail during `Forward` or `Backward`.

Now the following error will be returned in an OOM situation:
```

mxnet.base.MXNetError: [05:13:15] src/storage/./pooled_storage_manager.h:108: cudaMalloc failed: out of memory

Stack trace returned 10 entries:
[bt] (0) /home/leonard/software/mxnet-master/python/mxnet/../../lib/libmxnet.so(dmlc::StackTrace[abi:cxx11]()+0x5b) [0x7f358103783b]
[bt] (1) /home/leonard/software/mxnet-master/python/mxnet/../../lib/libmxnet.so(dmlc::LogMessageFatal::~LogMessageFatal()+0x28) [0x7f35810383a8]
[bt] (2) /home/leonard/software/mxnet-master/python/mxnet/../../lib/libmxnet.so(mxnet::storage::GPUPooledStorageManager::Alloc(mxnet::Storage::Handle*)+0x154) [0x7f358398b384]
[bt] (3) /home/leonard/software/mxnet-master/python/mxnet/../../lib/libmxnet.so(mxnet::StorageImpl::Alloc(mxnet::Storage::Handle*)+0x5d) [0x7f358398d80d]
[bt] (4) /home/leonard/software/mxnet-master/python/mxnet/../../lib/libmxnet.so(mxnet::op::CuDNNRNNOp<float>::Init(mshadow::Stream<mshadow::gpu>*, std::vector<mxnet::TBlob, std::allocator<mxnet::TBlob> > const&, std::vector<mxnet::TBlob, std::allocator<mxnet::TBlob> > const&)+0x1de5) [0x7f3585606a55]
[bt] (5) /home/leonard/software/mxnet-master/python/mxnet/../../lib/libmxnet.so(mxnet::op::CuDNNRNNOp<float>::Forward(mxnet::OpContext const&, std::vector<mxnet::TBlob, std::allocator<mxnet::TBlob> > const&, std::vector<mxnet::OpReqType, std::allocator<mxnet::OpReqType> > const&, std::vector<mxnet::TBlob, std::allocator<mxnet::TBlob> > const&, std::vector<mxnet::TBlob, std::allocator<mxnet::TBlob> > const&)+0xa5d) [0x7f358560e07d]
...
```

In particular, #11004 makes sure that the descriptors are always created during class initialization and not just somewhere down the line in`Forward` / `Backward`.",IssueComment,https://github.com/apache/mxnet/issues/10453#issuecomment-390458859,leezu,2018-05-20 05:24:30,10453,[11041],Memory bug ,1,"[url] ""fixes"" this issue. The filter descriptors that are freed in the destructor were not created if cudaMalloc would fail during [code] or [code]. Now the following error will be returned in an OOM situation: ``[code]`[code]Forward[code]Backward`."
cc @zhanghang1989,IssueComment,https://github.com/apache/mxnet/issues/11077#issuecomment-392663799,ZiyueHuang,2018-05-29 06:14:54,11077,[11145],Algorithm design bug,1,cc @zhanghang1989
"RoiAlign was added in this PR - https://github.com/apache/incubator-mxnet/pull/10852 by @zhanghang1989 . can you take a look.

@sandeep-krishnamurthy please add label - ""Operator"", ""Bug""",IssueComment,https://github.com/apache/mxnet/issues/11077#issuecomment-394500721,anirudhacharya,2018-06-04 21:10:37,11077,[11145],Algorithm design bug,1,"RoiAlign was added in this PR - [url] by @zhanghang1989 . can you take a look. @sandeep-krishnamurthy please add label - ""Operator"", ""Bug"""
"I am following up this issue, will fix it soon.",IssueComment,https://github.com/apache/mxnet/issues/11077#issuecomment-394507664,zhanghang1989,2018-06-04 21:36:28,11077,[11145],Algorithm design bug,1,"I am following up this issue, will fix it soon."
This hasn't broken in like a year to my knowledge.,IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367526499,cjolivier01,2018-02-22 00:33:19,9853,[11259],Test bug,0,This hasn't broken in like a year to my knowledge.
is that an mkl build?,IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367527415,cjolivier01,2018-02-22 00:37:52,9853,[11259],Test bug,0,is that an mkl build?
"No, on Windows we only run OpenBLAS.
",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367528116,marcoabreu,2018-02-22 00:41:24,9853,[11259],Test bug,0,"No, on Windows we only run OpenBLAS."
It seems https://github.com/apache/incubator-mxnet/issues/9853 fails in the same test. It's strange how this fails.,IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367846746,zheng-da,2018-02-22 22:37:08,9853,[11259],Test bug,0,It seems [url] fails in the same test. It's strange how this fails.
"Wasn't elemwise_add changed to use mkl?
btw, was it verified that mkl is faster for all shapes and types?  I saw it allocates memory, which seems like it might be slow.",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367850176,cjolivier01,2018-02-22 22:51:28,9853,[11259],Test bug,0,"Wasn't elemwise_add changed to use mkl? btw, was it verified that mkl is faster for all shapes and types? I saw it allocates memory, which seems like it might be slow."
"I don't think we have the tools to measure performance on that scale yet. As far as I know, this is in the works. Since there's still some time until 1.2, we can definitely gather these numbers.",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367859620,marcoabreu,2018-02-22 23:34:53,9853,[11259],Test bug,0,"I don't think we have the tools to measure performance on that scale yet. As far as I know, this is in the works. Since there's still some time until 1.2, we can definitely gather these numbers."
"Well even if it was changed to use MKL, this would not apply here since we're running on OpenBLAS, right?",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367860051,marcoabreu,2018-02-22 23:37:08,9853,[11259],Test bug,0,"Well even if it was changed to use MKL, this would not apply here since we're running on OpenBLAS, right?"
"@cjolivier01 in both cases (https://github.com/apache/incubator-mxnet/issues/9853 and https://github.com/apache/incubator-mxnet/issues/9844), the tests fail in test_bmod. It shouldn't have invoked elemwise_add ",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367860345,zheng-da,2018-02-22 23:38:19,9853,[11259],Test bug,0,@cjolivier01 in both cases ([url] and [url] the tests fail in test_bmod. It shouldn't have invoked elemwise_add
"i don’t know what is invoked in the process of calling test_bmod(). could
be that elemwise_add() isn’t called, or is called before and corrupts
memory, or maybe has nothing to do with elemwise_add.

however, we seem to have a lot of tests that are suddenly failing... any
ideas?

On Thu, Feb 22, 2018 at 3:38 PM Da Zheng <notifications@github.com> wrote:

> @cjolivier01 <https://github.com/cjolivier01> in both cases (#9853
> <https://github.com/apache/incubator-mxnet/issues/9853> and #9844
> <https://github.com/apache/incubator-mxnet/issues/9844>), the tests fail
> in test_bmod. It shouldn't have invoked elemwise_add
>
> —
> You are receiving this because you were mentioned.
>
>
> Reply to this email directly, view it on GitHub
> <https://github.com/apache/incubator-mxnet/issues/9853#issuecomment-367860345>,
> or mute the thread
> <https://github.com/notifications/unsubscribe-auth/AKts_fYOpzaNXyAWlk7woscdV0Pz1w4Iks5tXfqHgaJpZM4SOaWO>
> .
>
",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367866040,cjolivier01,2018-02-23 00:09:11,9853,[11259],Test bug,0,"i don’t know what is invoked in the process of calling test_bmod(). could be that elemwise_add() isn’t called, or is called before and corrupts memory, or maybe has nothing to do with elemwise_add. however, we seem to have a lot of tests that are suddenly failing... any ideas? On Thu, Feb 22, 2018 at 3:38 PM Da Zheng <[email]> wrote: > @cjolivier01 <[url] in both cases (#9853 > <[url] and #9844 > <[url] the tests fail > in test_bmod. It shouldn't have invoked elemwise_add > > — > You are receiving this because you were mentioned. > > > Reply to this email directly, view it on GitHub > <[url]#issuecomment-367860345>, > or mute the thread > <[url] > . >"
I don't have a clue right now. so far we see failures in random generators and binary operators. it's weird why it fails in these simple operators that are seemingly irrelevant to MKLDNN operators.,IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-367868599,zheng-da,2018-02-23 00:23:02,9853,[11259],Test bug,0,I don't have a clue right now. so far we see failures in random generators and binary operators. it's weird why it fails in these simple operators that are seemingly irrelevant to MKLDNN operators.
https://github.com/apache/incubator-mxnet/issues/9844,IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-373882624,marcoabreu,2018-03-17 01:12:48,9853,[11259],Test bug,0,[url]
"I think the cause of this is that operator mod is using doubles to make the computation, while the test is forcing float32, also the modulo operator for floating point seems to give different results in GPU vs CPU. Why is fmod in cuda giving different results?

According to table 7  here https://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#introduction-cuda-dynamic-parallelism

there should be no differences in fmod.

https://github.com/apache/incubator-mxnet/blob/master/tests/python/unittest/test_operator.py#L1511
https://github.com/apache/incubator-mxnet/blob/master/src/operator/mshadow_op.h#L402

>>> np.double(1.68) % np.double(1.30123)
0.37876999999999983
>>> np.float32(1.68) % np.float32(1.30123)
0.37877

",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-386875707,larroy,2018-05-06 12:24:17,9853,[11259],Test bug,0,"I think the cause of this is that operator mod is using doubles to make the computation, while the test is forcing float32, also the modulo operator for floating point seems to give different results in GPU vs CPU. Why is fmod in cuda giving different results? According to table 7 here [url]#introduction-cuda-dynamic-parallelism there should be no differences in fmod. [url]#L1511 [url]#L402 >>> np.double(1.68) % np.double(1.30123) 0.37876999999999983 >>> np.float32(1.68) % np.float32(1.30123) 0.37877"
"I tried to increase the tolerance, but I found out one failure where the difference is much bigger than expected 0.28679015 . I think we should look deeper into this

[-116.15162] <-input
<NDArray 1 @gpu(0)>
[-115.8648288] <- gradient
[0.28679015] <- diff
[0.8396868] <- a 
[0.0020733]  <- b
FAIL",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-386885067,larroy,2018-05-06 14:51:59,9853,[11259],Test bug,0,"I tried to increase the tolerance, but I found out one failure where the difference is much bigger than expected 0.28679015 . I think we should look deeper into this [-116.15162] <-input <NDArray 1 @gpu(0)> [-115.8648288] <- gradient [0.28679015] <- diff [0.8396868] <- a [0.0020733] <- b FAIL"
"reproducible 100% with export MXNET_TEST_SEED=1688524483

nosetests-3.4 -s -v test_operator_gpu.py:test_binary_op

```
diff --git a/tests/python/unittest/test_operator.py b/tests/python/unittest/test_operator.py
index 5d38222..04e880c 100644
--- a/tests/python/unittest/test_operator.py
+++ b/tests/python/unittest/test_operator.py
@@ -1429,6 +1429,16 @@ def check_binary_op_backward(symbol, baseline, gen_data, rtol=1e-3, atol=1e-5):
         y.forward(is_train=True)
         y.backward([mx.nd.array(out)])
         assert_allclose(y_1.asnumpy(), x_1, rtol=rtol, atol=atol)
+        z = np.abs(y_2.asnumpy() - x_2)
+        w = np.where(z>atol)
+        if w[0].size > 0:
+            print(""d[0].shape: {} d[1].shape: {} baseline_grad2.shape: {}"".format(d[0].shape, d[1].shape, baseline_grad2.shape))
+            print(w)
+            print(y_2[w])
+            print(x_2[w])
+            print(z[w])
+            print(d[0][w])
+            print(d[1][w])
```",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-386885128,larroy,2018-05-06 14:53:05,9853,[11259],Test bug,0,reproducible 100% with export MXNET_TEST_SEED=1688524483 nosetests-3.4 -s -v test_operator_gpu.py:test_binary_op ``[code]``
"I have likely found the root cause of this problem, just so we don't duplicate resources on this one.",IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-396886126,larroy,2018-06-13 10:08:52,9853,[11259],Test bug,0,"I have likely found the root cause of this problem, just so we don't duplicate resources on this one."
seed 1060292419,IssueComment,https://github.com/apache/mxnet/issues/9853#issuecomment-397011088,larroy,2018-06-13 16:58:43,9853,[11259],Test bug,0,seed 1060292419
@anbrjohn thanks for reporting. Would you send a patch to fix the example?,IssueComment,https://github.com/apache/mxnet/issues/11352#issuecomment-399171330,szha,2018-06-21 16:51:26,11352,[11375],Algorithm design bug,0,@anbrjohn thanks for reporting. Would you send a patch to fix the example?
@sandeep-krishnamurthy requesting this be labeled as cuda and operator,IssueComment,https://github.com/apache/mxnet/issues/11568#issuecomment-403257247,andrewfayres,2018-07-08 02:35:10,11568,[11806],Test bug,1,@sandeep-krishnamurthy requesting this be labeled as cuda and operator
Added disabled test since the tests are disabled for USE_CUDA=ON USE_CUDNN=OFF as part of #11470,IssueComment,https://github.com/apache/mxnet/issues/11568#issuecomment-404320744,anirudh2290,2018-07-11 21:45:58,11568,[11806],Test bug,1,Added disabled test since the tests are disabled for USE_CUDA=ON USE_CUDNN=OFF as part of #11470
"@mxnet-label-bot could you please add [gluon, bug] to this label?",IssueComment,https://github.com/apache/mxnet/issues/12087#issuecomment-411818660,lanking520,2018-08-09 16:31:35,12087,[12093],Data bug,0,"@mxnet-label-bot could you please add [gluon, bug] to this label?"
"@apache/mxnet-committers: This issue has been inactive for the past 90 days. It has no label and needs triage.

For general ""how-to"" questions, our [user forum](https://discuss.mxnet.io/) (and [Chinese version](https://discuss.gluon.ai/)) is a good place to get help.",IssueComment,https://github.com/apache/mxnet/issues/8270#issuecomment-357431288,szha,2018-01-13 12:26:27,8270,[12295],Version compatibility bug,0,"@apache/mxnet-committers: This issue has been inactive for the past 90 days. It has no label and needs triage. For general ""how-to"" questions, our [user forum]([url] (and [Chinese version]([url] is a good place to get help."
Sorry could you clarify the issue and give a bit of context?,IssueComment,https://github.com/apache/mxnet/issues/8270#issuecomment-380194426,ThomasDelteil,2018-04-10 18:05:08,8270,[12295],Version compatibility bug,0,Sorry could you clarify the issue and give a bit of context?
"These are variables that are not defined in the current context which can raise NameError at runtime.  Often they are typos or missing imports or code refactoring errors or things like __basestring__ or __xrange()__ being defined in Python 2 but being removed in Python 3.

Just try reading thru the code as if you were the Python interpreter and ask yourself ""Where is this variable defined?"".",IssueComment,https://github.com/apache/mxnet/issues/8270#issuecomment-380203936,cclauss,2018-04-10 18:35:31,8270,[12295],Version compatibility bug,0,"These are variables that are not defined in the current context which can raise NameError at runtime. Often they are typos or missing imports or code refactoring errors or things like __basestring__ or __xrange()__ being defined in Python 2 but being removed in Python 3. Just try reading thru the code as if you were the Python interpreter and ask yourself ""Where is this variable defined?""."
"Oh I understand now, that's some static code analysis right? Thanks for running that, seems like some files need fixing.",IssueComment,https://github.com/apache/mxnet/issues/8270#issuecomment-380207663,ThomasDelteil,2018-04-10 18:47:47,8270,[12295],Version compatibility bug,0,"Oh I understand now, that's some static code analysis right? Thanks for running that, seems like some files need fixing."
"Are there any specific advantages that flake8 has over pylint? 
pylint has equivalent messages such as 'undefined-variable' (equivalent to F821). So just wondering if it would be easier to add more options to pylintrc and include in the existing build process.",IssueComment,https://github.com/apache/mxnet/issues/8270#issuecomment-407888667,vandanavk,2018-07-25 20:42:24,8270,[12295],Version compatibility bug,0,Are there any specific advantages that flake8 has over pylint? pylint has equivalent messages such as 'undefined-variable' (equivalent to F821). So just wondering if it would be easier to add more options to pylintrc and include in the existing build process.
"flake8 will find _undefined names_ that pylint will not because flake8 makes an abstract syntax tree for each Python file and plyint does not.  This also explains why flake8 gives different results in Python 2 and Python 3 (the have different ASTs while pylint does not.

Take running code like __isinstance(unicode('Hello'), basestring)__ through pylint on Python 2 and Python 3 and see if there are differences in the output.  Now try same with flake8.",IssueComment,https://github.com/apache/mxnet/issues/8270#issuecomment-407891316,cclauss,2018-07-25 20:51:36,8270,[12295],Version compatibility bug,0,"flake8 will find _undefined names_ that pylint will not because flake8 makes an abstract syntax tree for each Python file and plyint does not. This also explains why flake8 gives different results in Python 2 and Python 3 (the have different ASTs while pylint does not. Take running code like __isinstance(unicode('Hello'), basestring)__ through pylint on Python 2 and Python 3 and see if there are differences in the output. Now try same with flake8."
"I take it back...  You are right.

PyLint is now able to find undefined names.

$ __python3 -m pylint *.py__
```
************* Module pylint_test
pylint_test.py:1:0: C0111: Missing module docstring (missing-docstring)
pylint_test.py:1:11: E0602: Undefined variable 'unicode' (undefined-variable)
pylint_test.py:1:29: E0602: Undefined variable 'basestring' (undefined-variable)
```",IssueComment,https://github.com/apache/mxnet/issues/8270#issuecomment-407893666,cclauss,2018-07-25 20:59:50,8270,[12295],Version compatibility bug,0,I take it back... You are right. PyLint is now able to find undefined names. $ __python3 -m pylint *.py__ ``[code]``
